BehaviorSpace results (NetLogo 6.4.0),Table version 2.0,,,,,,,,,,,,,,,,
transportation_v12.nlogo,,,,,,,,,,,,,,,,,
proofs-threshholds,,,,,,,,,,,,,,,,,
02/01/2025 09:58:18:046 -0500,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
0,149,0,149,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
[run number],[step],count people,(count people with [t-type = 1]) / (count people),(count people with [t-type = 2]) / (count people),(count people with [t-type = 3]) / (count people),"count people with [type-choice = ""repetition""]","count people with [type-choice = ""imitation""]","count people with [type-choice = ""deliberation""]","count people with [type-choice = ""inquiry""]",mean [satisfaction] of people with [t-type = 1],mean [satisfaction] of people with [t-type = 2],mean [satisfaction] of people with [t-type = 3],mean [satisfaction] of people,mean [uncertainty] of people with [t-type = 1],mean [uncertainty] of people with [t-type = 2],mean [uncertainty] of people with [t-type = 3],mean [uncertainty] of people
2,212,17112,0.521563815,0.306919121,0.171517064,10367,669,94,5982,0.411006085,0.44406753,0.552554468,0.445431238,0.347466182,0.454084143,0.503631905,0.406974359
7,61,17112,0.400537634,0.260168303,0.339294063,10190,1823,125,4974,0.434452449,0.47084626,0.538283705,0.479150294,0.361309318,0.472970428,0.413961786,0.40822467
2,242,17112,0.530154278,0.31013324,0.159712482,10381,533,130,6068,0.403726491,0.440935667,0.554589806,0.439361048,0.344154314,0.452788626,0.516403239,0.405355728
23,61,17112,0.403401122,0.259350164,0.337248714,10225,1772,88,5027,0.434571924,0.471354713,0.538285832,0.479088929,0.359565235,0.473194824,0.418072626,0.40876663
2,272,17112,0.539679757,0.312762973,0.14755727,10402,528,116,6066,0.404680348,0.438846315,0.556497326,0.437767897,0.343424407,0.450410164,0.524362567,0.403584332
1,61,17112,0.398316971,0.262681159,0.33900187,10174,1824,112,5002,0.437794815,0.472069473,0.536015659,0.480095172,0.365258102,0.473985429,0.41102703,0.409334474
20,61,17112,0.398667602,0.261161758,0.34017064,10211,1859,118,4924,0.43743823,0.47129627,0.537298648,0.480250238,0.362898621,0.474738743,0.412141843,0.408858082
2,302,17112,0.545406732,0.316093969,0.138499299,10407,452,144,6109,0.398746765,0.435955004,0.557963034,0.432559407,0.339184565,0.449030676,0.532666526,0.400703374
6,61,17112,0.394518467,0.259759233,0.3457223,10199,1792,143,4978,0.440444544,0.472700776,0.535095999,0.481546517,0.367200574,0.472162379,0.407902428,0.408536911
2,332,17112,0.551367461,0.317788686,0.130843852,10414,430,125,6143,0.398826298,0.433141946,0.559395838,0.43074096,0.337339976,0.447889823,0.538770269,0.398827382
