"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"..transportation_v12.tmp.tmp.nlogo"
"proofs-threshholds-policy"
"03/19/2025 22:57:29:821 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","[step]","count people","(count people with [t-type = 1]) / (count people)","(count people with [t-type = 2]) / (count people)","(count people with [t-type = 3]) / (count people)"
"10","182","17112","0.5215638148667602","0.31375642823749417","0.16467975689574568"
"17","182","17112","0.5178821879382889","0.32047685834502104","0.16164095371669004"
"2","152","17112","0.5202197288452548","0.32018466573165033","0.1595956054230949"
"9","182","17112","0.5158368396446937","0.31936652641421226","0.16479663394109398"
"15","182","17112","0.520278167367929","0.317671809256662","0.16205002337540908"
"6","152","17112","0.5241351098644226","0.31924964936886396","0.1566152407667134"
"20","182","17112","0.521096306685367","0.31510051425899954","0.16380317905563346"
"18","182","17112","0.52226507713885","0.31872370266479666","0.15901122019635344"
"22","182","17112","0.5216806919121084","0.3174380551659654","0.16088125292192612"
"23","182","17112","0.519109396914446","0.3183146330060776","0.16257597007947638"
"3","182","17112","0.5175899953249182","0.31971715755025715","0.16269284712482468"
"13","182","17112","0.5194600280504909","0.3167952314165498","0.16374474053295932"
"16","182","17112","0.5168302945301543","0.3159186535764376","0.16725105189340814"
"19","182","17112","0.5164796633941094","0.3169705469845722","0.16654978962131836"
"1","182","17112","0.5167718560074801","0.31837307152875177","0.16485507246376813"
"24","182","17112","0.5190509583917718","0.3179055633473586","0.16304347826086957"
"11","182","17112","0.5220897615708275","0.31609396914446003","0.1618162692847125"
"4","182","17112","0.5197522206638616","0.32082748948106593","0.15942028985507245"
"12","212","17112","0.5181743805516597","0.3178471248246844","0.1639784946236559"
"8","182","17112","0.5217975689574568","0.3174964936886395","0.1607059373539037"
"21","182","17112","0.5244273024777933","0.313288920056101","0.16228377746610564"
"14","152","17112","0.5150187003272557","0.3225806451612903","0.16240065451145394"
"7","182","17112","0.5239597942964002","0.3169121084618981","0.15912809724170174"
"25","182","17112","0.520687237026648","0.3182561944834035","0.16105656848994857"
"5","182","17112","0.5226157082748948","0.31615240766713415","0.161231884057971"
"10","212","17112","0.5170056100981767","0.31504207573632537","0.16795231416549788"
"17","212","17112","0.5167718560074801","0.31661991584852733","0.1666082281439925"
"9","212","17112","0.5194015895278168","0.3177302477793361","0.16286816269284712"
"2","182","17112","0.5199859747545582","0.3185483870967742","0.1614656381486676"
"15","212","17112","0.5179406264609631","0.3174380551659654","0.16462131837307153"
"20","212","17112","0.5133824216923796","0.3191912108461898","0.16742636746143058"
"23","212","17112","0.5185250116877045","0.3178471248246844","0.16362786348761102"
"22","212","17112","0.5179990649836372","0.31924964936886396","0.16275128564749883"
"18","212","17112","0.5188172043010753","0.3215871902758298","0.1595956054230949"
"3","212","17112","0.5156615240766713","0.3190743338008415","0.16526414212248713"
"13","212","17112","0.5136746143057503","0.31913277232351567","0.167192613370734"
"16","212","17112","0.5146680691912109","0.3165614773258532","0.16877045348293596"
"6","182","17112","0.5192262739597943","0.3178471248246844","0.16292660121552127"
"19","212","17112","0.5178237494156148","0.3164446002805049","0.16573165030388032"
"1","212","17112","0.5189925198690977","0.31492519869097707","0.1660822814399252"
"24","212","17112","0.5185250116877045","0.31673679289387563","0.16473819541841983"
"12","242","17112","0.5195769050958392","0.31597709209911173","0.1644460028050491"
"4","212","17112","0.5208041140719962","0.317671809256662","0.16152407667134175"
"11","212","17112","0.5170056100981767","0.3181977559607293","0.16479663394109398"
"8","212","17112","0.5194600280504909","0.3163277232351566","0.1642122487143525"
"21","212","17112","0.5213884992987378","0.3134057971014493","0.165205703599813"
"10","242","17112","0.5172978027115475","0.3167952314165498","0.16590696587190276"
"7","212","17112","0.5187587657784011","0.31960028050490885","0.16164095371669004"
"25","212","17112","0.516713417484806","0.32018466573165033","0.16310191678354372"
"5","212","17112","0.5191678354371202","0.3181977559607293","0.16263440860215053"
"9","242","17112","0.5124474053295933","0.3209443665264142","0.1666082281439925"
"17","242","17112","0.5148433847592333","0.3177302477793361","0.16742636746143058"
"14","182","17112","0.5153693314633007","0.31960028050490885","0.16503038803179054"
"15","242","17112","0.5158952781673679","0.3182561944834035","0.1658485273492286"
"2","212","17112","0.5142005610098177","0.31965871902758297","0.16614071996259935"
"23","242","17112","0.5165965404394577","0.3162108461898083","0.167192613370734"
"22","242","17112","0.5162459093034129","0.32053529686769516","0.163218793828892"
"20","242","17112","0.5177068723702665","0.31586021505376344","0.16643291257597007"
"18","242","17112","0.519109396914446","0.3180224403927069","0.16286816269284712"
"3","242","17112","0.5146680691912109","0.32053529686769516","0.16479663394109398"
"13","242","17112","0.512739597942964","0.32053529686769516","0.1667251051893408"
"1","242","17112","0.5153108929406265","0.3171458625525947","0.16754324450677888"
"16","242","17112","0.5163627863487611","0.3141654978962132","0.1694717157550257"
"19","242","17112","0.5164796633941094","0.3163277232351566","0.167192613370734"
"24","242","17112","0.5182912575970079","0.3173796166432913","0.1643291257597008"
"4","242","17112","0.5168887330528285","0.31989247311827956","0.163218793828892"
"6","212","17112","0.5142589995324918","0.32000935016362786","0.16573165030388032"
"11","242","17112","0.5158952781673679","0.3182561944834035","0.1658485273492286"
"8","242","17112","0.5202197288452548","0.31609396914446003","0.16368630201028517"
"21","242","17112","0.5224403927068724","0.31100981767180924","0.16654978962131836"
